iConf CONFORMER     FL  occ    crg   Em0  pKa0 ne nH    vdw0    vdw1    tors    epol   dsolv   extra    history
00001 1N1+1A0001_001 f 0.00  1.005     0  0.00  0  0 481.309   0.000   0.000   0.000  -1.130   0.329 +1O000M000t
00002 1N1+1A0001_002 t 0.00  1.005     0  0.00  0  0 487.852   0.000   0.000   0.000  -1.021   0.329 +1O000M000t
00003 1N1+1A0001_003 t 0.00  1.005     0  0.00  0  0 784.520   0.000   0.000   0.000  -2.055   0.329 +1O000M000t
00004 1N1+1A0001_004 t 0.00  1.005     0  0.00  0  0 791.063   0.000   0.000   0.000  -2.000   0.329 +1O000M000t
00005 1N1+2A0001_005 f 0.00  0.998     0  0.00  0  0 782.214   0.000   0.000   0.000  -0.982   0.946 +2O000M000t
00006 1N1+2A0001_006 t 0.00  0.998     0  0.00  0  0 479.696   0.000   0.000   0.000   0.962   0.946 +2O000M000t
00007 1N101A0001_007 f 0.00  0.003     0  0.00  0  0 775.296   0.000   0.000   0.000  -1.669   1.351 01O000M000t
00008 1N101A0001_008 t 0.00  0.003     0  0.00  0  0 472.918   0.000   0.000   0.000  -1.713   1.351 01O000M000t
00009 1N1+3A0001_009 f 0.00  1.005     0  0.00  0  0 485.565   0.000   0.000   0.000   0.145   2.168 +3O000M000t
00010 1N1+3A0001_010 t 0.00  1.005     0  0.00  0  0 492.105   0.000   0.000   0.000   0.049   2.168 +3O000M000t
00011 1N1+3A0001_011 t 0.00  1.005     0  0.00  0  0 788.006   0.000   0.000   0.000   0.093   2.168 +3O000M000t
00012 1N1+3A0001_012 t 0.00  1.005     0  0.00  0  0 795.156   0.000   0.000   0.000  -0.250   2.168 +3O000M000t
00013 1N1-1A0001_013 f 0.00 -0.998     0  0.00  0  0 769.889   0.000   0.000   0.000  -1.413   2.523 -1O000M000t
00014 1N1-1A0001_014 t 0.00 -0.998     0  0.00  0  0 467.510   0.000   0.000   0.000  -1.788   2.523 -1O000M000t
00015 1N1+aA0001_015 f 0.00  2.001     0  0.00  0  0 484.745   0.000   0.000   0.000  -1.477   5.032 +aO000M000t
00016 1N1+aA0001_016 t 0.00  2.001     0  0.00  0  0 784.789   0.000   0.000   0.000  -1.517   5.032 +aO000M000t
00017 1N1+aA0001_017 t 0.00  2.001     0  0.00  0  0 482.271   0.000   0.000   0.000   1.182   5.032 +aO000M000t
00018 1N1+aA0001_018 t 0.00  2.001     0  0.00  0  0 787.187   0.000   0.000   0.000  -2.026   5.032 +aO000M000t
00019 1N102A0001_019 f 0.00 -0.001     0  0.00  0  0 469.253   0.000   0.000   0.000  -0.526   5.133 02O000M000t
00020 1N102A0001_020 t 0.00 -0.001     0  0.00  0  0 772.464   0.000   0.000   0.000  -1.821   5.133 02O000M000t
00021 1N102A0001_021 t 0.00 -0.001     0  0.00  0  0 774.862   0.000   0.000   0.000  -1.983   5.133 02O000M000t
00022 1N102A0001_022 t 0.00 -0.001     0  0.00  0  0 472.483   0.000   0.000   0.000  -1.874   5.133 02O000M000t
00023 1N1+4A0001_023 f 0.00  1.005     0  0.00  0  0 497.470   0.000   0.000   0.000  -0.928   5.194 +4O000M000t
00024 1N1+4A0001_024 t 0.00  1.005     0  0.00  0  0 799.912   0.000   0.000   0.000  -1.077   5.194 +4O000M000t
00025 1N103A0001_025 f 0.00 -0.002     0  0.00  0  0 776.807   0.000   0.000   0.000  -0.388   5.397 03O000M000t
00026 1N103A0001_026 t 0.00 -0.002     0  0.00  0  0 474.288   0.000   0.000   0.000   1.095   5.397 03O000M000t
00027 1N1DMA0001_027 t 0.00  0.000     0  0.00  0  0   0.000   0.000   0.000   0.000   0.000   0.000         DMt
