iConf CONFORMER     FL  occ    crg   Em0  pKa0 ne nH    vdw0    vdw1    tors    epol   dsolv   extra    history
00001 27601A0001_001 f 0.00  0.001     0  0.00  0  0  00.000   0.000   0.000   0.000   0.000   0.309 01O000M000t
00002 27602A0001_002 f 0.00 -0.003     0  0.00  0  0  00.000   0.000   0.000   0.000  -0.792   0.585 02O000M000t
00003 276+1A0001_003 f 0.00  0.995     0  0.00  0  0 000.000   0.000   0.000   0.000  -0.752   2.362 +1O000M000t
00004 276+2A0001_004 f 0.00  0.998     0  0.00  0  0 000.000   0.000   0.000   0.000   0.265   3.162 +2O000M000t
00005 276+2A0001_005 t 0.00  0.998     0  0.00  0  0 000.000   0.000   0.000   0.000  -0.382   3.162 +2O000M000t
00006 27603A0001_006 f 0.00  0.000     0  0.00  0  0  00.000   0.000   0.000   0.000  -0.197   3.251 03O000M000t
00007 276+3A0001_007 f 0.00  0.996     0  0.00  0  0 000.000   0.000   0.000   0.000  -0.463   3.423 +3O000M000t
00008 276+3A0001_008 t 0.00  0.996     0  0.00  0  0 000.000   0.000   0.000   0.000  -0.160   3.423 +3O000M000t
00009 27604A0001_009 f 0.00 -0.000     0  0.00  0  0  00.000   0.000   0.000   0.000  -0.750   3.507 04O000M000t
00010 276+aA0001_010 f 0.00  2.001     0  0.00  0  0 000.000   0.000   0.000   0.000   0.076   5.324 +aO000M000t
00011 276+aA0001_011 t 0.00  2.001     0  0.00  0  0 000.000   0.000   0.000   0.000  -0.471   5.324 +aO000M000t
00012 276+4A0001_012 f 0.00  0.999     0  0.00  0  0  00.000   0.000   0.000   0.000  -0.470   5.434 +4O000M000t
00013 276DMA0001_013 t 0.00  0.000     0  0.00  0  0   0.000   0.000   0.000   0.000   0.000   0.000         DMt
